"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Belgium","BEL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4548000000","4844000000","4529000000","4623000000","6472000000","6592000000","8304000000","7598000000","8848000000","10089000000","10881000000","11625000000","12371000000","12018000000","11423000000","11395000000","12742000000","13711000000","14536000000","15244000000","13084000000","12772000000","",
"Benin","BEN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85000000","79100000","56200000","64200000","94400000","77400000","85500000","94500000","107900000","120900000","107700000","121600000","206300000","236400000","131400000","149400000","201000000","174000000","193000000","153000000","148000000","","",
"Burkina Faso","BFA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23000000","25000000","37000000","38000000","52000000","46000000","55000000","61000000","82000000","99000000","105000000","116000000","128000000","200000000","183000000","109000000","","",
"Bangladesh","BGD","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25000000","33000000","62000000","52000000","50000000","50000000","48000000","59000000","59000000","76000000","82000000","79000000","80000000","59000000","95000000","104000000","97000000","105000000","131000000","154000000","148400000","175000000","",
"Bulgaria","BGR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","662000000","541000000","517000000","1150000000","1184000000","1364000000","1262000000","1392000000","2051000000","2796000000","3063000000","3317000000","4181000000","4852000000","4273000000","3807000000","4297000000","3975000000","4410000000","4518000000","3583000000","4164000000","",
"Bahrain","BHR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","593000000","589000000","578000000","625000000","785000000","854000000","886000000","985000000","1206000000","1504000000","1603000000","1786000000","1854000000","1927000000","1873000000","2163000000","1766000000","1742000000","1865000000","1915000000","","","",
"Bahamas, The","BHS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1356000000","1409000000","1427000000","1365000000","1598000000","1753000000","1665000000","1773000000","1770000000","1897000000","2081000000","2066000000","2198000000","2155000000","2025000000","2159000000","2157000000","2333000000","2305000000","2336000000","2554000000","2627000000","",
"Bosnia and Herzegovina","BIH","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257000000","258000000","246000000","279000000","307000000","404000000","507000000","557000000","658000000","804000000","913000000","753000000","662000000","722000000","686000000","752000000","755000000","702000000","770000000","",
"Belarus","BLR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000000","61000000","40000000","54000000","92000000","188000000","272000000","295000000","339000000","362000000","346000000","401000000","479000000","585000000","563000000","665000000","747000000","986000000","1156000000","1230000000","1013000000","1019000000","",
"Belize","BLZ","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78000000","95000000","97000000","101000000","101000000","111000000","111000000","121000000","150000000","168000000","214000000","260000000","289000000","278000000","256000000","264000000","248000000","298000000","351000000","380000000","372000000","391000000","",
"Bermuda","BMU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","488000000","472000000","478000000","487000000","479000000","431000000","351000000","378000000","348000000","426000000","429000000","495000000","569000000","431000000","366000000","442000000","500000000","448000000","447000000","407000000","386000000","445000000","",
"Bolivia","BOL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92000000","100000000","129000000","137000000","124000000","101000000","119000000","143000000","243000000","283000000","345000000","330000000","326000000","302000000","306000000","339000000","499000000","631000000","639000000","746000000","810000000","801000000","",
"Brazil","BRA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085000000","744000000","1025000000","1398000000","1718000000","1969000000","1844000000","2142000000","2673000000","3389000000","4168000000","4577000000","5284000000","6109000000","5635000000","5522000000","6370000000","6623000000","6784000000","7405000000","6254000000","6613000000","",
"Barbados","BRB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630000000","667000000","672000000","721000000","697000000","733000000","706000000","666000000","767000000","784000000","1081000000","1235000000","1224000000","1244000000","1122000000","1074000000","983000000","947000000","992000000","","","","",
"Brunei Darussalam","BRN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155000000","113000000","124000000","181000000","191000000","224000000","233000000","242000000","254000000","","","92000000","96000000","79000000","147000000","144000000","",
"Bhutan","BTN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","6000000","6000000","8000000","9000000","10000000","9000000","8000000","8000000","13000000","19000000","36000000","47000000","47000000","51000000","64000000","76000000","93000000","116000000","120000000","120000000","137000000","",
"Botswana","BWA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176000000","105000000","141000000","179000000","239000000","227000000","235000000","324000000","459000000","582000000","563000000","540000000","548300000","510700000","663600000","781100000","865300000","957000000","888300000","978000000","1037300000","1075000000","",
"Central African Republic","CAF","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","3000000","2000000","4000000","8000000","5000000","5000000","3000000","4000000","7800000","7200000","10200000","10800000","11800000","7500000","14400000","15000000","15000000","15600000","","","","",
"Canada","CAN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9176000000","10073000000","10390000000","11049000000","12024000000","13035000000","12680000000","12744000000","12236000000","15135000000","15887000000","16837000000","17961000000","18191000000","15568000000","18438000000","19989000000","20696000000","20941000000","20802000000","19273000000","18278000000","",
"Central Europe and the Baltics","CEB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17794000000","22759000000","23151100000","23159400000","20280000000","20255000000","20507000000","21253000000","26165000000","30731000000","35477000000","39892000000","49269000000","58399000000","48387000000","46156000000","52544000000","49453000000","53256000000","55341000000","49181000000","52734000000","",
"Switzerland","CHE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11354000000","10779000000","10036000000","10188000000","9135000000","8988000000","9290000000","9117000000","10493000000","11404000000","11952000000","12855000000","14720000000","17596000000","16667000000","17614000000","177659000000","19594000000","20345000000","21444000000","19639000000","19220000000","",
"Channel Islands","CHI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1186000000","1209000000","1401000000","1431000000","1243000000","1179000000","1184000000","1221000000","1309000000","1571000000","1608000000","1853000000","2224000000","2481000000","2380000000","2362000000","2723000000","3158000000","3171000000","3202000000","3412000000","3697000000","",
"China","CHN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8730000000","10200000000","12626000000","13229000000","15006000000","17318000000","19006000000","21742000000","18707000000","27755000000","29296000000","33949000000","37233000000","40843000000","39675000000","45814000000","48464000000","50028000000","51664000000","44044000000","44969000000","44432000000","",
"Cote d'Ivoire","CIV","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103000000","107000000","103000000","111000000","107000000","53000000","58000000","56000000","76000000","91000000","93000000","104000000","115000000","129000000","164000000","213000000","186000000","172500000","191000000","195000000","214000000","","",
"Cameroon","CMR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75000000","151000000","119000000","114000000","92000000","132000000","182000000","124000000","266000000","212000000","229000000","231000000","254000000","167000000","271000000","171000000","423000000","377000000","607000000","630000000","476000000","","",
"Congo, Dem. Rep.","COD","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3200000","3100000","700000","700000","24000000","10700000","11400000","6900000","8400000","45400000","100000","4300000","",
"Congo, Rep.","COG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14669140","11017590","10000000","9000000","13500000","12400000","22600000","25600000","30000000","23100000","40000000","45000000","31400000","37000000","85000000","39000000","47000000","68000000","53000000","57000000","","","",
"Colombia","COL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","887000000","1362000000","1315000000","1216000000","1231000000","1313000000","1483000000","1237000000","1191000000","1369000000","1891000000","2370000000","2586000000","2936000000","3050000000","3441000000","3801000000","4363000000","4759000000","4887000000","5235000000","5835000000","",
"Comoros","COM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","23000000","26000000","16000000","19000000","15000000","9000000","10900000","15600000","21400000","24400000","27400000","30400000","37400000","32300000","35200000","42200000","39300000","","","","","",
"Cabo Verde","CPV","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29000000","37000000","50000000","45000000","56000000","64000000","77000000","100000000","135000000","153000000","177000000","280000000","375000000","432000000","349000000","387000000","438000000","452000000","483000000","453000000","380000000","402000000","",
"Costa Rica","CRI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","763000000","797000000","860000000","1038000000","1256000000","1477000000","1339000000","1292000000","1424000000","1586000000","1810000000","1865000000","2221000000","2533000000","2001000000","2179000000","2646000000","2773000000","3171000000","3137000000","3408000000","3956000000","",
"Caribbean small states","CSS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4291000000","4557000000","4783000000","4909000000","5247000000","5520000000","5213000000","5283000000","5695000000","6238000000","6927000000","7350000000","7675000000","7652000000","7087000000","7360000000","7304000000","7685000000","7795000000","9946846244.30399","10360486550.0515","10486285038.8512","",
"Cuba","CUB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100000000","1333000000","1515000000","1759000000","1901000000","1948000000","1840000000","1769000000","1999000000","2114000000","2591000000","2414000000","2415000000","2535000000","2249000000","2396000000","2503000000","2613000000","2608000000","2546000000","2819000000","3069000000","",
"Curacao","CUW","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175000000","186000000","201000000","261000000","260000000","227000000","271000000","217000000","223000000","224000000","244000000","277000000","329000000","383000000","378000000","438000000","540000000","676000000","778000000","820000000","712000000","644000000","",
"Cayman Islands","CYM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394000000","368000000","501000000","534000000","525000000","559000000","585000000","607000000","518000000","523000000","356000000","509000000","481000000","518000000","458000000","465000000","472000000","469000000","479000000","541000000","651000000","","",
"Cyprus","CYP","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019000000","1906000000","1851000000","1922000000","2091000000","2098000000","2180000000","2117000000","2318000000","2552000000","2618000000","2673000000","3097000000","3202000000","2456000000","2424000000","2707000000","2732000000","3020000000","2920000000","2489000000","2756000000","",
"Czech Republic","CZE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2880000000","4079000000","3620000000","3894000000","3153000000","2973000000","3104000000","3376000000","4069000000","4931000000","5772000000","6702000000","7775000000","9228000000","8164000000","8068000000","8930000000","8174000000","7792000000","7614000000","6766000000","7041000000","",
"Germany","DEU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24052000000","23982000000","24501000000","25806000000","25327000000","24943000000","24175000000","26690000000","30104000000","36390000000","40531000000","45538000000","49332000000","53397000000","47462000000","49126000000","53431000000","51645000000","55486000000","58701000000","50645000000","52129000000","",
"Djibouti","DJI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5400000","4600000","4200000","9300000","7600000","8100000","8600000","8900000","6900000","6800000","7100000","9800000","6800000","7800000","16000000","18000000","19200000","20500000","21600000","24700000","30900000","33500000","",
"Dominica","DMA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42000000","44000000","48000000","47000000","51000000","48000000","46000000","46000000","52000000","61000000","57000000","72000000","74000000","76000000","77000000","94000000","106000000","76000000","82000000","216000000","215000000","235000000","",
"Denmark","DNK","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3691000000","3420000000","3156000000","3236000000","3698000000","3671000000","4003000000","4791000000","5271000000","5652000000","5293000000","5562000000","5978000000","6281000000","5617000000","5704000000","6366000000","6135000000","6490000000","7617000000","6685000000","7046000000","",
"Dominican Republic","DOM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1571000000","1781000000","2099000000","2153000000","2483000000","2860000000","2798000000","2730000000","3128000000","3152000000","3518000000","3917000000","4064000000","4166000000","4049000000","4163000000","4391000000","4687000000","5064000000","5630000000","6116000000","6723000000","",
"Algeria","DZA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32000000","45000000","28000000","74000000","80000000","102000000","100000000","111000000","112000000","178000000","477000000","393000000","334000000","473000000","361000000","324000000","300000000","295000000","326000000","348000000","357000000","243000000","",
"East Asia & Pacific (excluding high income)","EAP","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31262916295.8549","36159537445.8467","37726508202.0947","32089424934.8386","38173236155.3266","42972333877.1622","45967725827.9058","51125455092.2449","45128451273.3979","61301456965.603","64461064536.8418","77313118094.4109","93912107318.6718","100673160663.307","92036434422.6326","107171882134.369","122688892557.483","134954219306.338","148554534936.999","141365195810.156","145464932628.793","150925552059.144","",
"Early-demographic dividend","EAR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45638929388.5899","51239321425.5318","56414630680.9206","53693098317.1247","56173309416.9441","61501116469.1854","61244159517.6376","64320507789.9147","71946682695.8891","89437329521.3209","100251189715.356","108897620693.596","128295638474.907","141173904358.064","133536626738.599","151673825332.452","158317854798.461","168010555276.037","176224349689.117","192179975207.059","191387161707.064","184105190783.983","",
"East Asia & Pacific","EAS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82242161254.8396","92067141921.6579","89941673252.0267","78617739260.5866","87075217011.4451","94194328586.7412","96505394505.2563","106002673494.411","107172605481.977","139959226409.504","148420383829.893","162210770627.752","193594066426.116","214842345779.482","204350754535.643","250067157371.075","290851524987.356","319178950356.817","346906123764.419","354365644828.195","340613659507.672","353642365711.453","",
"Europe & Central Asia (excluding high income)","ECA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13113284343.1911","17681977984.2125","20010953017.4707","20436320932.0017","15346633784.5052","18366633537.6443","23215416604.5278","26842281777.393","32710632400.3234","40732813181.3029","48995861383.8036","52218751139.5317","63720706118.1666","78055151896.6197","67785053314.0686","67806253336.7","80802666804.1004","84314568642.5786","93905878495.8762","93187721117.7615","80040010165.8293","73432476840.6994","",
"Europe & Central Asia","ECS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240578248379.546","255322839314.987","249520166587.211","262334622842.568","266145352489.42","263851039300.52","266170465374.588","283648028935.739","329905789947.131","385218837664.438","402132476748.01","433671229333.585","499223242331.117","541165402049.505","470807291725.663","468602934436.513","692328520339.511","530864671978.87","571658553669.136","598469699095.075","523904200930.884","523422286669.873","",
"Ecuador","ECU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","315000000","330000000","335000000","330000000","377000000","451000000","438000000","449000000","408000000","464000000","488000000","492000000","626000000","745000000","674000000","786000000","849000000","1039000000","1251000000","1487000000","1557000000","1449000000","",
"Egypt, Arab Rep.","EGY","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2954000000","3583000000","4046000000","2942000000","4361000000","4657000000","4119000000","4133000000","4704000000","6328000000","7206000000","8133000000","10327000000","12104000000","11757000000","13633000000","9333000000","10823000000","6747000000","7979000000","6897000000","3305000000","",
"Euro area","EMU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164614793000","170217330000","162560000000","173105000000","185808000000","182170000000","183184000000","194386000000","227880000000","263185000000","264158000000","282703000000","320616000000","343883000000","301977000000","295130000000","335050000000","326375000000","349627000000","365558000000","313021000000","320982000000","",
"Eritrea","ERI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58000000","69000000","90000000","34000000","28000000","36000000","74000000","73000000","74000000","73000000","66000000","60000000","61000000","46000000","26000000","","","","","","","48000000","",
"Spain","ESP","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27369000000","29751000000","28649000000","31592000000","33784000000","32656000000","33829000000","35468000000","43863000000","49996000000","49565000000","53160000000","59910000000","64422000000","55748000000","54305000000","62447000000","57877000000","62584000000","65099000000","56532000000","60605000000","",
"Estonia","EST","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452000000","565000000","597000000","668000000","702000000","657000000","661000000","737000000","883000000","1111000000","1229000000","1361000000","1416000000","1643000000","1090000000","1065000000","1256000000","1286000000","2022000000","2231000000","1843000000","1896000000","",
"Ethiopia","ETH","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177000000","170000000","157000000","152000000","176000000","205000000","218000000","261000000","336000000","458000000","533000000","639000000","790000000","1184000000","1119000000","1434000000","1998000000","1980000000","2236000000","2107000000","2279000000","2138000000","",
"European Union","EUU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215717793000","227009330000","220364100000","233133400000","242614000000","238183000000","236084000000","250532000000","292443000000","339476000000","348521000000","377070000000","430830000000","458282000000","396298000000","391413000000","442469000000","434636000000","465987000000","492468000000","431568000000","438943000000","",
"Fragile and conflict affected situations","FCS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3439617174.19545","3469028683.58418","3575161285.10045","3906099537.3109","3406374500.56802","3350163700.22861","3203905402.09059","7120487945.12928","10032518214.5833","10372926010.0788","10673295344.5844","10567589351.0816","12981295844.284","14752772077.5119","16880401029.4623","21289134012.6803","15600145024.3059","17390697723.4911","18645106087.2244","19972527729.0055","21433888820.6473","","",
"Finland","FIN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2383000000","2408000000","2358000000","2371000000","2236000000","2035000000","2065000000","2235000000","2676000000","2975000000","3069000000","3515000000","4287000000","4873000000","4104000000","4510000000","5591000000","5415000000","4048000000","3679000000","2560000000","2717000000","",
"Fiji","FJI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369000000","374000000","386000000","309000000","365000000","291000000","316000000","384000000","496000000","588000000","722000000","684000000","722000000","952000000","688000000","825000000","955000000","989000000","966000000","1034000000","1037000000","","",
"France","FRA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31295000000","32088000000","27402000000","29490000000","37770000000","38534000000","38385000000","40537000000","45990000000","52108000000","52139000000","54587000000","63902000000","68001000000","58858000000","56187000000","66087000000","64000000000","66060000000","67382000000","52959000000","50883000000","",
"Faroe Islands","FRO","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
